dev_len,med_len,min_length,max_length,same_len,stat_0,stat_1,suf,tsisy_suf,entropie,sim,code
1.996089927833914,4.5,1,7,3,0.4857142857142857,0.5142857142857142,6,0.625,3.0,0.6233250876108019,0
1.8121673811444545,5.0,1,7,1,0.5789473684210527,0.42105263157894735,7,0.6666666666666666,3.1699250014423126,0.645734126984127,0
1.6659862556700857,5.0,2,7,1,0.2727272727272727,0.7272727272727273,3,0.5714285714285714,2.807354922057604,0.6062160062160062,0
1.7853571071357126,3.5,1,5,1,0.46153846153846156,0.5384615384615384,2,0.75,2.0,0.4444444444444444,0
0.7071067811865476,4.0,3,5,1,0.5,0.5,1,0.75,2.0,0.6534391534391534,1
1.4846149779161804,5.0,2,7,2,0.5151515151515151,0.48484848484848486,2,0.7142857142857143,2.807354922057604,0.6708273208273208,1
1.9436506316151,5.0,1,7,2,0.46153846153846156,0.5384615384615384,7,0.6666666666666666,3.1699250014423126,0.606845238095238,0
1.7633419974582356,5.0,2,7,2,0.5365853658536586,0.4634146341463415,1,0.875,3.0,0.5571428571428572,1
1.4142135623730951,4.0,4,7,1,0.4666666666666667,0.5333333333333333,1,0.6666666666666666,1.5849625007211563,0.3977272727272727,1
0.816496580927726,6.0,5,7,0,0.6666666666666666,0.3333333333333333,0,1.0,1.5849625007211563,0.3205128205128205,1
1.9595917942265424,2.0,2,7,1,0.7058823529411765,0.29411764705882354,2,0.6,2.321928094887362,0.5151515151515151,0
1.8666480653835098,5.0,1,7,2,0.43243243243243246,0.5675675675675675,4,0.625,3.0,0.6841269841269841,0
2.0,3.0,1,5,0,0.5,0.5,1,0.5,1.0,0.3333333333333333,1
0.8,6.0,4,6,1,0.3333333333333333,0.6666666666666666,0,1.0,2.321928094887362,0.7121212121212122,1
1.8547236990991407,4.0,2,7,0,0.6363636363636364,0.36363636363636365,1,0.8,2.321928094887362,0.6039682539682539,1
0.0,7.0,7,7,0,0.5714285714285714,0.42857142857142855,0,1.0,-0.0,1.0,1
2.8284271247461903,7.0,1,7,1,0.4,0.6,1,0.6666666666666666,1.5849625007211563,0.25,1
0.8660254037844386,3.5,2,5,2,0.5357142857142857,0.4642857142857143,2,0.75,3.0,0.5520408163265306,0
2.362907813126304,5.0,1,7,1,0.7037037037037037,0.2962962962962963,2,0.6666666666666666,2.584962500721156,0.44649239649239647,0
2.6726124191242437,3.0,1,7,2,0.35714285714285715,0.6428571428571429,7,0.5714285714285714,2.807354922057604,0.4955026455026455,0
1.1661903789690602,5.0,2,5,1,0.42857142857142855,0.5714285714285714,1,0.8,2.321928094887362,0.6095238095238095,1
0.4714045207910317,3.0,3,4,1,0.8,0.2,0,1.0,1.5849625007211563,0.7619047619047619,1
1.5,5.0,2,6,1,0.3333333333333333,0.6666666666666666,1,0.75,2.0,0.5909090909090909,1
1.247219128924647,5.0,3,6,0,0.5714285714285714,0.42857142857142855,0,1.0,1.5849625007211563,0.4722222222222222,1
2.3151673805580453,5.0,1,7,0,0.38095238095238093,0.6190476190476191,1,0.8,2.321928094887362,0.5746753246753247,0
1.833030277982336,4.0,1,7,3,0.5476190476190477,0.4523809523809524,10,0.6,3.321928094887362,0.6184303350970017,0
2.0603150145508513,5.0,1,7,1,0.6129032258064516,0.3870967741935484,5,0.7142857142857143,2.807354922057604,0.5633144633144633,0
1.632993161855452,4.0,2,6,0,0.5833333333333334,0.4166666666666667,0,1.0,1.5849625007211563,0.55,1
0.4714045207910317,2.0,2,3,1,0.5714285714285714,0.42857142857142855,0,1.0,1.5849625007211563,0.6000000000000001,1
1.479019945774904,5.5,3,7,0,0.6190476190476191,0.38095238095238093,0,1.0,2.0,0.6722222222222222,1
2.0223748416156684,3.0,1,7,3,0.38461538461538464,0.6153846153846154,7,0.6,3.321928094887362,0.3637566137566137,0
2.0,3.0,1,5,0,0.8333333333333334,0.16666666666666666,0,1.0,1.0,0.3333333333333333,1
1.57797338380595,5.5,2,7,3,0.47058823529411764,0.5294117647058824,3,0.8,3.321928094887362,0.593627360294027,0
1.632993161855452,5.5,2,7,1,0.5,0.5,1,0.8333333333333334,2.584962500721156,0.6445998445998447,0
0.0,6.0,6,6,1,0.6666666666666666,0.3333333333333333,0,1.0,1.5849625007211563,0.75,1
2.211083193570267,3.0,1,7,1,0.65,0.35,5,0.5,2.584962500721156,0.33,0
2.3151673805580453,5.0,1,7,0,0.42857142857142855,0.5714285714285714,2,0.8,2.321928094887362,0.4866383616383616,0
1.5518257844571737,6.0,2,6,1,0.6176470588235294,0.38235294117647056,1,0.8571428571428571,2.807354922057604,0.6464646464646464,0
1.0657403385139377,4.0,2,5,4,0.5625,0.4375,5,0.7777777777777778,3.1699250014423126,0.6583333333333333,0
2.1147629234082532,3.5,2,7,2,0.52,0.48,0,1.0,2.584962500721156,0.5542857142857143,1
1.299038105676658,4.0,2,5,1,0.5333333333333333,0.4666666666666667,0,1.0,2.0,0.7071428571428572,1
1.4142135623730951,4.5,2,6,2,0.5,0.5,3,0.75,3.0,0.5975056689342404,1
3.0,4.0,1,7,0,0.625,0.375,0,1.0,1.0,0.25,1
2.5,3.5,1,6,0,0.5714285714285714,0.42857142857142855,0,1.0,1.0,0.2857142857142857,1
